Codigo Postal;Latitud;Longitud
04001;36.838;-2.46
04002;36.838;-2.46
04003;36.838;-2.46
04004;36.838;-2.46
04005;36.838;-2.46
04006;36.838;-2.46
04007;36.838;-2.46
04008;36.838;-2.46
04009;36.838;-2.46
04070;36.838;-2.46
04071;36.838;-2.46
04080;36.838;-2.46
04100;36.967;-2.206
04110;36.936;-2.132
04113;36.883;-2.106
04114;36.988;-2.108
04115;36.849;-2.044
04116;36.88;-2.005
04117;36.826;-2.142
04118;36.793;-2.075
04119;36.987;-2.223
04120;36.843;-2.408
04130;36.853;-2.353
04131;36.833;-2.316
04140;36.997;-1.897
04149;37.005;-1.931
04150;36.782;-2.242
04151;36.902;-2.333
04160;36.927;-2.298
04200;37.048;-2.361
04210;37.04;-2.201
04211;37.023;-2.374
04212;37.157;-2.435
04213;37.192;-2.313
04230;36.885;-2.438
04240;36.881;-2.425
04250;36.916;-2.437
04259;36.967;-2.4
04260;36.945;-2.46
04270;37.09;-2.127
04271;37.203;-2.082
04274;37.185;-2.205
04275;37.204;-2.293
04276;37.22;-2.262
04277;37.065;-2.028
04278;37.148;-2.085
04279;37.133;-2.158
04280;37.159;-2
04288;37.179;-1.992
04289;37.126;-2.012
04400;36.957;-2.569
04409;36.967;-2.606
04410;36.912;-2.446
04420;36.975;-2.531
04430;36.993;-2.661
04431;36.986;-2.639
04440;36.995;-2.682
04450;36.999;-2.737
04458;37.004;-2.785
04459;37.05;-2.74
04460;36.98;-2.86
04470;36.995;-2.89
04479;37.011;-2.943
04480;36.975;-2.962
04500;37.172;-2.84
04510;37.154;-2.777
04520;37.132;-2.797
04530;37.133;-2.717
04531;37.034;-2.622
04532;37.168;-2.727
04533;37.117;-2.8
04540;37.142;-2.659
04549;37.197;-2.724
04550;37.101;-2.517
04558;37.092;-2.585
04559;37.099;-2.534
04560;36.954;-2.485
04567;36.99;-2.587
04568;37.01;-2.599
04569;36.986;-2.608
04600;37.395;-2.039
04610;37.285;-1.869
04616;37.251;-1.769
04617;37.249;-1.798
04618;37.275;-1.805
04619;37.315;-1.804
04620;37.243;-1.859
04621;37.209;-1.813
04628;37.239;-1.916
04629;37.25;-1.938
04630;37.181;-1.823
04638;37.106;-1.857
04639;37.152;-1.895
04640;37.412;-1.745
04647;37.4;-1.773
04648;37.34;-1.736
04649;37.385;-1.753
04650;37.348;-2.026
04660;37.345;-2.09
04661;37.366;-2.04
04662;37.349;-1.988
04690;37.494;-1.878
04691;37.466;-1.93
04692;37.436;-2.046
04693;37.498;-1.985
04694;37.414;-1.798
04700;36.825;-2.854
04710;36.719;-2.839
04711;36.701;-2.79
04712;36.732;-2.887
04713;36.719;-2.839
04715;36.723;-2.842
04716;36.719;-2.839
04717;36.719;-2.839
04720;36.812;-2.58
04721;36.832;-2.643
04727;36.837;-2.618
04728;36.869;-2.659
04729;36.877;-2.602
04738;36.832;-2.643
04740;36.764;-2.615
04741;36.94;-2.556
04743;36.94;-2.556
04745;37.292;-2.437
04746;36.94;-2.556
04750;36.827;-2.87
04760;36.873;-2.949
04768;36.92;-3.029
04769;36.858;-2.986
04770;36.75;-3.021
04778;36.755;-3.079
04779;36.753;-2.984
04800;37.389;-2.15
04810;37.438;-2.256
04811;37.52;-2.278
04812;37.433;-2.177
04813;37.517;-2.189
04814;37.402;-2.135
04815;37.349;-2.136
04820;37.648;-2.077
04825;37.575;-2.289
04826;37.598;-2.132
04827;37.593;-2.04
04828;37.57;-2.122
04829;37.628;-2.035
04830;37.733;-2.109
04838;37.708;-2.205
04839;37.853;-2.228
04850;37.367;-1.971
04857;37.284;-2.182
04858;37.294;-2.153
04859;37.27;-2.232
04860;37.35;-2.3
04867;37.303;-2.325
04868;37.298;-2.334
04869;37.361;-2.258
04870;37.347;-2.361
04877;37.392;-2.388
04878;37.331;-2.393
04879;37.397;-2.365
04880;37.346;-2.433
04887;37.401;-2.471
04888;37.34;-2.424
04889;37.305;-2.452
04890;37.345;-2.509
04897;37.351;-2.657
04898;37.397;-2.593
04899;37.419;-2.56
