cartodb_id,the_geom,total_paro_registrado,paro_sin_empleo_anterior,paro_servicios,paro_mujer_edad_45,paro_mujer_edad_25_45,paro_mujer_edad_25,paro_industria,paro_hombre_edad_45,paro_hombre_edad_25_45,paro_hombre_edad_25,paro_construccion,paro_agricultura,cod_postal,codigo_mes,municipio
64937,,98,5,73,9,18,8,7,38,20,5,7,6,4510,201509,ABLA
16235,,110,6,80,10,31,5,8,32,26,6,8,8,4510,201503,ABLA
8118,,109,7,77,10,32,8,7,32,21,6,10,8,4510,201502,ABLA
81171,,104,4,81,10,23,8,5,33,23,7,8,6,4510,201511,ABLA
48703,,103,4,77,11,24,6,9,38,19,5,8,5,4510,201507,ABLA
56820,,106,6,78,8,23,7,7,42,22,4,9,6,4510,201508,ABLA
24352,,113,5,85,12,32,6,8,34,25,4,8,7,4510,201504,ABLA
89288,,97,3,74,9,19,7,5,30,25,7,8,7,4510,201512,ABLA
73054,,104,5,81,10,19,7,6,37,24,7,6,6,4510,201510,ABLA
32469,,109,5,83,11,31,7,9,34,22,4,7,5,4510,201505,ABLA
1,,115,6,79,9,32,8,7,36,22,8,12,11,4510,201501,ABLA
40586,,108,6,83,12,29,8,8,35,20,4,7,4,4510,201506,ABLA
64938,,88,10,50,10,15,14,3,23,18,8,8,17,4520,201509,ABRUCENA
2,,82,7,46,10,21,7,2,22,17,5,10,17,4520,201501,ABRUCENA
89289,,77,6,46,10,20,10,4,20,13,4,5,16,4520,201512,ABRUCENA
40587,,79,4,49,12,17,10,3,17,22,1,12,11,4520,201506,ABRUCENA
56821,,87,9,49,11,14,12,3,24,20,6,8,18,4520,201508,ABRUCENA
16236,,80,9,46,10,21,10,2,16,19,4,11,12,4520,201503,ABRUCENA
73055,,87,9,50,10,16,11,4,24,20,6,8,16,4520,201510,ABRUCENA
48704,,82,9,48,11,14,11,2,23,20,3,8,15,4520,201507,ABRUCENA
32470,,82,6,51,9,19,11,2,19,22,2,10,13,4520,201505,ABRUCENA
8119,,78,8,42,8,20,6,2,19,21,4,10,16,4520,201502,ABRUCENA
24353,,81,7,46,11,20,9,2,18,20,3,11,15,4520,201504,ABRUCENA
81172,,75,7,45,8,18,11,4,18,17,3,7,12,4520,201511,ABRUCENA
81173,,2570,311,1291,525,674,131,120,556,506,178,391,457,4770,201511,ADRA
48705,,3558,329,2094,727,1096,234,158,609,699,193,416,561,4770,201507,ADRA
64939,,3499,337,2037,722,1058,224,156,603,686,206,422,547,4770,201509,ADRA
56822,,3599,328,2118,736,1104,236,170,618,706,199,407,576,4770,201508,ADRA
89290,,2497,299,1242,508,660,115,121,560,487,167,382,453,4770,201512,ADRA
24354,,3227,351,1637,640,899,219,177,603,679,187,464,598,4770,201504,ADRA
40588,,3319,330,1878,688,1011,225,161,594,616,185,422,528,4770,201506,ADRA
32471,,3195,349,1712,642,949,219,170,570,628,187,439,525,4770,201505,ADRA
16237,,3007,338,1465,577,789,179,153,614,672,176,478,573,4770,201503,ADRA
